2,19,2,2,69
1,16,0,0,59
1,11,2,2,70
2,13,2,0,63
1,18,3,2,67
1,18,0,3,54
5,9,0,2,136
1,14,3,2,68
5,8,1,0,109
2,14,3,1,70
1,15,2,1,83
10,7,2,2,163
1,10,3,2,73
2,13,2,1,58
9,9,2,0,131
9,7,2,2,196
6,10,0,2,184
9,6,1,0,100
1,18,2,2,73
1,16,2,3,78
8,5,2,1,172
1,10,1,2,65
10,10,0,2,158
0,17,3,3,83
2,9,2,1,62
17,3,0,0,77
2,12,3,2,72
10,6,2,0,165
1,10,3,0,67
10,5,0,0,130
2,14,2,0,94
1,9,2,2,59
2,8,3,2,63
2,17,2,3,75
16,5,1,0,77
8,7,0,2,129
6,9,2,1,132
14,4,1,1,76
6,10,0,1,101
1,11,2,0,52
17,5,0,0,60
2,8,1,3,75
1,11,1,3,64
2,13,0,0,68
1,19,0,1,87
1,13,1,1,53
5,9,1,0,127
5,9,1,0,123
0,10,0,1,94
1,16,2,0,99
2,16,2,1,63
9,10,2,2,124
8,6,1,1,157
1,8,0,3,70
1,11,1,1,66
0,16,3,3,87
2,8,1,0,61
19,1,1,1,53
2,14,1,0,56
20,5,0,1,75
2,12,3,0,52
0,19,0,2,59
0,15,3,2,89
2,9,1,3,65
1,9,2,2,65
1,14,1,2,67
16,2,0,0,70
2,11,1,2,61
7,9,2,1,154
18,1,1,1,74
10,10,0,1,121
2,11,3,3,57
2,10,2,0,53
1,11,2,2,54
2,13,1,2,51
2,9,0,1,73
1,9,2,0,80
2,11,3,3,67
6,7,1,0,181
2,16,2,2,52
9,9,1,0,198
1,12,3,2,79
2,14,2,2,56
2,9,1,3,71
0,15,2,1,62
2,13,1,2,60
2,13,3,1,73
1,11,2,0,94
1,19,0,2,69
1,12,3,0,65
0,17,2,1,52
19,1,0,0,74
2,10,2,0,57
2,11,0,2,53
6,5,0,0,121
2,9,3,0,78
2,10,2,2,74
0,15,0,2,91
1,15,3,0,62
2,13,0,1,52
10,5,0,0,155
2,12,1,3,55
1,10,3,2,66
20,4,1,0,72
1,13,2,3,64
20,3,1,1,56
9,6,2,2,107
14,2,0,0,58
8,5,0,2,159
7,10,0,2,187
1,12,0,1,69
5,7,2,0,105
2,9,0,1,71
1,12,3,1,50
15,3,1,1,76
2,10,0,1,89
2,12,0,3,65
1,8,3,1,52
1,14,1,0,90
1,10,0,0,74
2,14,1,3,74
2,19,0,3,56
0,19,3,0,63
1,12,0,1,50
8,5,2,1,191
2,14,2,3,65
1,15,3,0,68
8,10,1,1,153
1,14,1,0,88
1,14,0,3,76
7,6,2,1,173
1,11,0,2,77
1,12,1,3,90
0,14,1,3,50
1,18,3,0,93
0,16,3,1,59
2,12,1,2,68
1,8,2,1,71
7,6,0,0,133
0,11,1,1,78
0,10,2,2,67
9,8,0,1,199
10,6,0,0,165
2,8,0,1,64
1,10,2,0,94
2,10,2,2,85
5,7,2,2,198
13,1,1,1,79
0,19,0,3,62
1,8,0,1,56
0,14,1,1,91
2,15,2,0,65
10,9,0,1,135
0,15,0,1,63
0,15,0,1,73
1,11,1,2,72
2,14,0,0,65
0,14,2,1,80
5,10,2,1,123
1,14,0,2,86
10,6,1,0,157
16,4,0,0,55
6,8,1,2,170
15,1,0,0,65
1,9,3,1,78
10,5,0,2,136
2,13,1,1,50
7,5,1,2,124
6,6,1,2,131
1,15,2,3,50
8,5,0,1,189
2,9,3,2,69
0,19,3,1,94
2,11,2,1,67
1,18,2,2,71
8,8,1,0,187
1,12,2,0,70
7,9,2,1,190
5,8,1,2,193
2,11,3,3,50
2,11,2,3,70
5,9,0,2,182
2,10,0,1,94
5,6,1,0,117
2,10,0,2,69
10,5,1,0,112
1,12,0,3,67
1,14,1,3,51
2,15,3,1,72
2,13,2,3,68
2,12,0,0,67
1,10,2,3,71
1,13,3,1,79
9,5,2,1,101
19,4,1,0,60
2,10,3,1,69
10,10,0,0,196
19,5,1,0,77
1,12,1,2,58
15,5,1,0,53
10,10,2,2,129
2,10,3,3,70
17,1,1,0,54
0,17,1,1,96
2,13,0,3,52
1,18,0,1,68
0,16,3,2,72
16,5,1,1,73
1,10,3,0,53
1,10,3,3,62
0,15,2,2,71
0,13,1,0,65
2,13,3,0,69
20,5,1,1,63
2,13,0,3,67
1,10,1,0,66
2,12,3,2,52
7,8,0,1,118
2,8,1,0,62
1,8,1,3,75
6,8,1,2,157
10,7,2,2,196
1,11,1,3,65
1,12,1,0,55
1,11,2,2,80
2,12,0,1,59
7,7,0,0,184
2,10,2,3,60
1,13,0,2,55
1,13,2,3,50
1,11,3,1,97
0,14,3,1,79
1,13,1,0,53
0,14,0,1,77
0,10,1,2,82
16,1,1,1,71
2,9,0,2,50
2,10,0,3,65
6,6,2,2,118
1,9,0,3,59
10,10,2,1,198
6,6,1,1,108
10,6,2,2,184
1,13,3,2,56
8,7,0,2,175
2,13,2,3,65
1,10,1,0,66
1,13,1,1,68
2,15,2,3,85
2,14,0,2,61
8,9,1,0,176
10,6,1,1,174
0,17,1,1,97
1,12,1,0,76
1,14,2,3,63
2,13,2,3,82
0,17,1,3,63
1,17,0,3,84
2,15,0,1,81
2,14,3,2,74
1,11,1,1,80
2,12,2,1,64
2,8,3,3,72
1,13,2,3,69
10,9,2,0,188
1,13,2,2,70
7,9,0,1,128
1,10,1,3,93
2,12,2,3,76
0,10,0,0,54
1,13,3,3,58
2,9,1,3,80
20,3,0,1,73
5,7,2,1,153
1,12,0,0,98
2,14,2,2,60
1,12,3,2,74
7,7,2,2,179
1,14,1,3,82
2,19,1,3,54
1,13,1,3,65
0,17,1,2,56
2,11,3,1,66
0,14,1,0,86
6,9,2,1,122
2,12,2,0,62
5,10,1,1,153
0,13,3,0,51
9,7,1,2,194
6,9,0,0,127
2,10,1,0,62
1,9,2,2,54
1,10,3,1,75
1,11,1,2,74
8,9,2,2,166
1,12,2,3,54
5,6,2,2,142
1,13,1,3,94
2,10,1,0,98
1,12,1,3,50
2,11,2,3,64
17,1,1,1,51
2,12,3,0,52
7,6,1,0,107
0,17,2,2,88
1,14,2,1,61
1,14,3,0,58
10,9,0,1,194
0,15,3,1,57
1,10,3,3,50
15,4,1,1,59
6,7,1,2,151
17,3,0,0,73
2,10,1,1,68
1,13,1,3,74
2,16,1,2,77
1,9,0,0,62
1,12,0,2,78
0,16,1,1,92
1,14,0,0,60
0,14,0,1,90
1,19,1,0,97
2,10,2,1,91
19,2,0,1,63
9,6,0,2,142
2,11,1,2,65
1,12,3,1,63
2,10,1,0,64
0,15,3,2,90
1,17,1,3,64
6,5,0,1,108
5,9,2,1,171
6,8,0,0,186
0,13,3,1,51
8,5,2,0,100
2,9,0,2,73
1,8,3,3,74
2,14,0,3,68
1,13,1,2,94
0,14,0,3,94
1,14,2,0,75
15,5,1,0,80
1,18,1,1,96
2,13,0,1,77
9,8,1,2,186
1,12,2,2,76
1,9,0,2,59
2,12,2,0,56
1,14,0,3,50
0,18,2,3,59
2,8,3,1,53
8,10,2,0,180
8,6,0,0,188
8,5,2,2,148
2,8,0,0,56
5,8,2,0,116
1,11,2,2,59
1,11,2,3,76
1,13,0,3,86
0,15,3,1,62
16,3,1,0,75
6,5,0,0,162
6,10,1,0,184
1,13,3,2,61
9,7,0,2,121
2,12,3,0,74
1,9,1,2,69
2,17,3,1,84
10,5,1,2,200
1,12,0,0,68
2,17,3,1,64
8,9,1,0,126
2,15,0,2,68
2,14,2,3,72
0,13,2,1,63
1,10,1,1,72
1,11,1,2,80
5,7,2,0,183
2,9,0,2,67
2,8,1,2,51
1,18,3,1,64
15,3,0,0,50
1,14,0,0,78
6,8,2,0,153
1,13,1,1,60
0,19,2,3,78
1,11,2,3,51
2,11,0,0,59
5,9,2,2,108
2,9,2,2,56
1,18,3,1,68
2,18,2,3,97
0,16,0,2,51
2,11,3,2,99
8,7,1,0,193
2,12,1,2,54
2,13,3,0,75
1,17,2,3,74
0,19,0,0,69
9,7,1,0,178
7,10,1,2,150
0,14,2,3,80
1,12,1,1,73
0,19,1,1,80
5,6,1,2,169
1,9,1,3,59
1,12,3,2,71
1,14,1,3,73
10,5,0,1,183
9,9,1,1,179
9,7,2,2,185
2,16,1,1,90
2,13,0,2,79
2,16,1,0,96
9,6,2,0,148
